Name,Website,One Liner,Batch,Industries,All Locations,YC Profile URL,Status
SalaryBook,https://salarybook.co.in/,"Mobile first solution for Payroll, employee & expense management",Summer 2021,B2B,"Bengaluru, KA, India",https://www.ycombinator.com/companies/salarybook,Active
ODWEN,https://www.odwen.co.in,AirBnB for Small Warehouses,Summer 2021,"B2B, Supply Chain and Logistics","Delhi, DL, India",https://www.ycombinator.com/companies/odwen,Active
Coulomb AI,https://coulomb.ai/,Battery Observability Platform for Electric Vehicles,Summer 2021,B2B,"Bengaluru, KA, India",https://www.ycombinator.com/companies/coulomb-ai,Active
Koshex,https://www.koshex.com,Automating wealth creation for 400M Indian millennials,Summer 2021,"Fintech, Asset Management","Bengaluru, KA, India",https://www.ycombinator.com/companies/koshex,Active
Kalam Labs,http://www.kalamlabs.in,Near Space Flying Machines,Summer 2021,"Industrials, Drones",India,https://www.ycombinator.com/companies/kalam-labs,Active
FrontPage,https://front.page,Community for 100M Indian Financial Market Traders & Investors,Summer 2021,"Fintech, Asset Management","Bengaluru, KA, India",https://www.ycombinator.com/companies/frontpage,Active
Karbon Card,https://www.karboncard.com/,Corporate Card solution for Indian businesses,Summer 2021,"Fintech, Credit and Lending","Bengaluru, KA, India",https://www.ycombinator.com/companies/karbon-card,Active
marketfeed,https://marketfeed.com,Helps affluent Indians invest in automated options trading strategies,Summer 2021,"Fintech, Consumer Finance","Bengaluru, KA, India; Kochi, KL, India",https://www.ycombinator.com/companies/marketfeed,Active
Voosh,https://voosh.ai/,Making Restaurants more data-driven!,Winter 2021,B2B,"Bengaluru, KA, India",https://www.ycombinator.com/companies/voosh,Active
BusinessOnBot,https://www.businessonbot.com/,Automated user acquisition & selling on WhatsApp for businesses,Winter 2021,"B2B, Operations","Bengaluru, KA, India",https://www.ycombinator.com/companies/businessonbot,Active
Swadesi Way,https://swadesiway.com/,Healthy organic food that creates a positive impact,Winter 2021,"Consumer, Food and Beverage","Delhi, DL, India; Remote",https://www.ycombinator.com/companies/swadesi-way,Active
Zealth,https://zealth-ai.com/,Software for remote monitoring of cancer patients,Winter 2021,"Healthcare, Healthcare IT","Bengaluru, KA, India; Remote",https://www.ycombinator.com/companies/zealth,Active
Betterhalf,https://betterhalf.ai,India’s first and only marriage super app,Winter 2021,"Consumer, Social","Bengaluru, KA, India",https://www.ycombinator.com/companies/betterhalf,Active
Redcliffe Lifetech,http://redcliffelabs.com,Redcliffe Labs is India's Largest Omni-channel Diagnostics platform,Winter 2021,"Healthcare, Diagnostics","Delhi, DL, India; Gurugram, HR, India; Noida, UP, India",https://www.ycombinator.com/companies/redcliffe-lifetech,Active
Reclaim Protocol,https://reclaimprotocol.org,"User data verification across Employment, Academic Creds, Retail…",Winter 2021,"B2B, Retail","Hyderabad, Telangana, India; Remote",https://www.ycombinator.com/companies/reclaim-protocol,Active
ZOKO,https://www.zoko.io/,Better Business on WhatsApp,Winter 2021,"B2B, Retail","Bengaluru, KA, India",https://www.ycombinator.com/companies/zoko,Active
Unschool,https://www.unschool.in/,"Learn, Intern and become Industry-Ready",Winter 2021,Education,"Hyderabad, Telangana, India",https://www.ycombinator.com/companies/unschool,Active
Tilt,https://tilt.bike/,Bringing the joy of cycling to millions of Indians,Winter 2021,Consumer,"Bengaluru, KA, India; Remote",https://www.ycombinator.com/companies/tilt-2,Active
Codingal,https://www.codingal.com,Leading online after-school for kids & teens to learn AI & coding,Winter 2021,Education,"Bengaluru, KA, India",https://www.ycombinator.com/companies/codingal,Active
Veera Health,https://www.veerahealth.com,We treat women with Polycystic Ovary Syndrome in India,Winter 2021,"Healthcare, Consumer Health and Wellness","MH, India",https://www.ycombinator.com/companies/veera-health,Active
zingbus,https://www.zingbus.com/,Platform for bus travel across Indian cities,Winter 2021,"Consumer, Transportation Services","Gurugram, HR, India",https://www.ycombinator.com/companies/zingbus,Active
GimBooks,https://gimbooks.com/,GimBooks makes Bookkeeping Easy for small business owners,Winter 2021,"B2B, Finance and Accounting","Raipur, CT, India",https://www.ycombinator.com/companies/gimbooks,Active
Kodo,https://www.kodo.com,Corporate card & spend management platform for Indian startups,Winter 2021,"Fintech, Payments","MH, India",https://www.ycombinator.com/companies/kodo,Active
FifthTry,https://www.FifthTry.com,Continuous Documentation To End Documentation Rot,Winter 2021,"B2B, Productivity","Bengaluru, KA, India",https://www.ycombinator.com/companies/fifthtry,Active
Bimaplan,https://www.bimaplan.co,Affordable insurance for the next billion Indians,Winter 2021,"Fintech, Insurance","Bengaluru, KA, India; MH, India",https://www.ycombinator.com/companies/bimaplan,Active
CashBook,https://cashbook.in,Ramp for Indian Businesses - UPI Wallets for Employee Expenses,Winter 2021,"B2B, Finance and Accounting","Bengaluru, India",https://www.ycombinator.com/companies/cashbook,Active
Pragmatic Leaders (Ankai Inc),"https://pragmaticleaders.io, https://ostronaut.com","AI-powered Corporate Training: Faster, Smarter, and More Effective",Winter 2021,B2B,"Gurugram, HR, India; Remote",https://www.ycombinator.com/companies/pragmatic-leaders-ankai-inc,Active
Weekday,https://weekday.works,AI recruiter that runs outbound sourcing campaigns to find top talent,Winter 2021,"B2B, Recruiting and Talent","Bengaluru, KA, India; Remote",https://www.ycombinator.com/companies/weekday,Active
Flux Auto,https://fluxauto.ai,General Autonomy for Controlled Spaces,Winter 2021,"Industrials, Manufacturing and Robotics","Bengaluru, India",https://www.ycombinator.com/companies/flux-auto,Active
GroMo,https://www.gromo.in,App for independent agents to sell financial products in India,Winter 2021,Fintech,"Gurugram, HR, India",https://www.ycombinator.com/companies/gromo,Active
